mac,1,2,3,4,5,6,7,8,9,10,label,noise
04:b1:67:ac:8d:65,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,BB,False
04:b1:67:ac:8d:65,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-56.0,BB,False
04:b1:67:ac:8d:65,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,BB,False
04:b1:67:ac:8d:65,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,BB,False
04:b1:67:ac:8d:65,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,-57.0,BB,False
04:b1:67:ac:8d:65,-62.0,-62.0,-62.0,-62.0,-62.0,-59.0,-59.0,-58.0,-53.0,-53.0,BB,False
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,BB,False
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,BB,False
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-53.0,-53.0,-53.0,BB,False
04:b1:67:ac:8d:65,-67.0,-67.0,-67.0,-67.0,-71.0,-71.0,-71.0,-59.0,-56.0,-56.0,BB,False
04:b1:67:ac:8d:65,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,BB,False
04:b1:67:ac:8d:65,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,BB,False
04:b1:67:ac:8d:65,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,-66.0,BB,False
04:b1:67:ac:8d:65,-55.0,-54.0,-53.0,-53.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,BB,False
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-56.0,-52.0,-52.0,-52.0,-52.0,-52.0,-58.0,BB,False
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,BB,False
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,BB,False
04:b1:67:ac:8d:65,-55.0,-55.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,BB,False
04:b1:67:ac:8d:65,-65.0,-65.0,-65.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,BB,False
04:b1:67:ac:8d:65,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,BB,False
04:b1:67:ac:8d:65,-47.0,-48.0,-55.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-57.0,BB,False
04:b1:67:ac:8d:65,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-61.0,BB,False
04:b1:67:ac:8d:65,-59.0,-59.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,BB,False
04:b1:67:ac:8d:65,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,BB,False
04:b1:67:ac:8d:65,-63.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-66.0,BB,False
04:b1:67:ac:8d:65,-64.0,-64.0,-64.0,-64.0,-64.0,-57.0,-57.0,-57.0,-57.0,-57.0,BB,False
04:b1:67:ac:8d:65,-57.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,BB,False
04:b1:67:ac:8d:65,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,-69.0,BB,False
04:b1:67:ac:8d:65,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,BB,False
04:b1:67:ac:8d:65,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,BB,False
76:64:61:f6:e6:14,-44.0,-46.0,-42.0,-41.0,-39.0,-34.0,-36.0,-39.0,-35.0,-34.0,BA,False
76:64:61:f6:e6:14,-59.0,-48.0,-49.0,-51.0,-42.0,-44.0,-43.0,-42.0,-30.0,-41.0,BA,False
76:64:61:f6:e6:14,-56.0,-46.0,-46.0,-49.0,-43.0,-45.0,-40.0,-36.0,-34.0,-42.0,BA,False
76:64:61:f6:e6:14,-58.0,-44.0,-48.0,-47.0,-41.0,-37.0,-41.0,-35.0,-33.0,-45.0,BA,False
76:64:61:f6:e6:14,-50.0,-52.0,-51.0,-50.0,-48.0,-47.0,-44.0,-38.0,-34.0,-42.0,BA,False
76:64:61:f6:e6:14,-58.0,-42.0,-48.0,-49.0,-47.0,-43.0,-41.0,-39.0,-37.0,-45.0,BA,False
76:64:61:f6:e6:14,-51.0,-47.0,-44.0,-49.0,-46.0,-42.0,-41.0,-37.0,-37.0,-38.0,BA,False
76:64:61:f6:e6:14,-54.0,-45.0,-43.0,-39.0,-45.0,-40.0,-40.0,-29.0,-41.0,-35.0,BA,False
76:64:61:f6:e6:14,-56.0,-42.0,-42.0,-48.0,-39.0,-43.0,-33.0,-45.0,-34.0,-32.0,BA,False
76:64:61:f6:e6:14,-54.0,-46.0,-42.0,-40.0,-41.0,-44.0,-38.0,-34.0,-35.0,-39.0,BA,False
76:64:61:f6:e6:14,-60.0,-42.0,-47.0,-44.0,-44.0,-40.0,-40.0,-37.0,-35.0,-41.0,BA,False
76:64:61:f6:e6:14,-56.0,-44.0,-43.0,-44.0,-40.0,-42.0,-39.0,-42.0,-31.0,-42.0,BA,False
76:64:61:f6:e6:14,-55.0,-44.0,-48.0,-48.0,-44.0,-40.0,-42.0,-37.0,-39.0,-37.0,BA,False
76:64:61:f6:e6:14,-57.0,-41.0,-44.0,-40.0,-40.0,-41.0,-43.0,-40.0,-38.0,-36.0,BA,False
76:64:61:f6:e6:14,-56.0,-45.0,-44.0,-43.0,-42.0,-42.0,-42.0,-38.0,-28.0,-36.0,BA,False
76:64:61:f6:e6:14,-60.0,-50.0,-49.0,-44.0,-48.0,-44.0,-48.0,-47.0,-34.0,-39.0,BA,False
76:64:61:f6:e6:14,-55.0,-43.0,-43.0,-45.0,-40.0,-36.0,-41.0,-27.0,-32.0,-33.0,BA,False
76:64:61:f6:e6:14,-61.0,-49.0,-46.0,-50.0,-45.0,-39.0,-37.0,-33.0,-35.0,-36.0,BA,False
76:64:61:f6:e6:14,-51.0,-44.0,-44.0,-43.0,-48.0,-42.0,-38.0,-36.0,-37.0,-43.0,BA,False
76:64:61:f6:e6:14,-62.0,-44.0,-43.0,-44.0,-43.0,-42.0,-47.0,-38.0,-40.0,-39.0,BA,False
76:64:61:f6:e6:14,-60.0,-47.0,-41.0,-43.0,-45.0,-36.0,-34.0,-36.0,-36.0,-33.0,BA,False
76:64:61:f6:e6:14,-48.0,-53.0,-55.0,-44.0,-45.0,-41.0,-39.0,-35.0,-38.0,-38.0,BA,False
76:64:61:f6:e6:14,-55.0,-47.0,-47.0,-46.0,-42.0,-43.0,-42.0,-39.0,-32.0,-38.0,BA,False
76:64:61:f6:e6:14,-55.0,-41.0,-41.0,-43.0,-41.0,-39.0,-40.0,-43.0,-37.0,-33.0,BA,False
76:64:61:f6:e6:14,-63.0,-51.0,-45.0,-44.0,-39.0,-39.0,-33.0,-37.0,-28.0,-37.0,BA,False
76:64:61:f6:e6:14,-54.0,-51.0,-49.0,-48.0,-43.0,-42.0,-44.0,-37.0,-33.0,-39.0,BA,False
76:64:61:f6:e6:14,-58.0,-45.0,-43.0,-45.0,-42.0,-37.0,-39.0,-41.0,-40.0,-35.0,BA,False
76:64:61:f6:e6:14,-56.0,-48.0,-49.0,-46.0,-44.0,-42.0,-41.0,-37.0,-35.0,-38.0,BA,False
76:64:61:f6:e6:14,-53.0,-48.0,-48.0,-44.0,-47.0,-39.0,-43.0,-32.0,-37.0,-37.0,BA,False
76:64:61:f6:e6:14,-48.0,-46.0,-44.0,-48.0,-40.0,-40.0,-34.0,-33.0,-37.0,-32.0,BA,False
2e:ad:62:53:35:66,-65.0,-50.0,-50.0,-54.0,-39.0,-36.0,-36.0,-49.0,-44.0,-37.0,BA,False
2e:ad:62:53:35:66,-61.0,-61.0,-56.0,-48.0,-46.0,-46.0,-54.0,-39.0,-40.0,-40.0,BA,False
2e:ad:62:53:35:66,-60.0,-51.0,-55.0,-55.0,-55.0,-46.0,-43.0,-43.0,-35.0,-36.0,BA,False
2e:ad:62:53:35:66,-60.0,-56.0,-60.0,-60.0,-49.0,-41.0,-41.0,-41.0,-36.0,-49.0,BA,False
2e:ad:62:53:35:66,-63.0,-55.0,-57.0,-56.0,-49.0,-52.0,-59.0,-59.0,-32.0,-38.0,BA,False
2e:ad:62:53:35:66,-59.0,-61.0,-54.0,-48.0,-49.0,-49.0,-43.0,-43.0,-42.0,-42.0,BA,False
2e:ad:62:53:35:66,-59.0,-49.0,-54.0,-54.0,-49.0,-50.0,-47.0,-47.0,-44.0,-42.0,BA,False
2e:ad:62:53:35:66,-67.0,-56.0,-50.0,-52.0,-54.0,-46.0,-45.0,-34.0,-53.0,-39.0,BA,False
2e:ad:62:53:35:66,-60.0,-53.0,-52.0,-45.0,-52.0,-42.0,-37.0,-37.0,-39.0,-38.0,BA,False
2e:ad:62:53:35:66,-60.0,-54.0,-48.0,-55.0,-55.0,-49.0,-46.0,-39.0,-39.0,-48.0,BA,False
2e:ad:62:53:35:66,-64.0,-55.0,-50.0,-54.0,-55.0,-44.0,-44.0,-39.0,-43.0,-37.0,BA,False
2e:ad:62:53:35:66,-55.0,-55.0,-58.0,-50.0,-48.0,-48.0,-45.0,-36.0,-44.0,-40.0,BA,False
2e:ad:62:53:35:66,-68.0,-50.0,-52.0,-56.0,-43.0,-43.0,-43.0,-39.0,-48.0,-52.0,BA,False
2e:ad:62:53:35:66,-71.0,-55.0,-50.0,-51.0,-51.0,-47.0,-47.0,-45.0,-45.0,-38.0,BA,False
2e:ad:62:53:35:66,-62.0,-52.0,-50.0,-58.0,-52.0,-52.0,-45.0,-38.0,-38.0,-46.0,BA,False
2e:ad:62:53:35:66,-60.0,-59.0,-54.0,-54.0,-48.0,-48.0,-48.0,-43.0,-37.0,-37.0,BA,False
2e:ad:62:53:35:66,-57.0,-58.0,-56.0,-51.0,-48.0,-45.0,-45.0,-38.0,-46.0,-41.0,BA,False
2e:ad:62:53:35:66,-68.0,-58.0,-55.0,-54.0,-54.0,-54.0,-53.0,-40.0,-49.0,-49.0,BA,False
2e:ad:62:53:35:66,-60.0,-62.0,-49.0,-60.0,-60.0,-47.0,-43.0,-38.0,-38.0,-41.0,BA,False
2e:ad:62:53:35:66,-57.0,-58.0,-50.0,-50.0,-51.0,-43.0,-39.0,-39.0,-39.0,-41.0,BA,False
2e:ad:62:53:35:66,-62.0,-57.0,-50.0,-46.0,-46.0,-43.0,-37.0,-39.0,-39.0,-46.0,BA,False
2e:ad:62:53:35:66,-67.0,-65.0,-63.0,-51.0,-51.0,-42.0,-47.0,-40.0,-40.0,-40.0,BA,False
2e:ad:62:53:35:66,-60.0,-60.0,-59.0,-55.0,-55.0,-53.0,-50.0,-56.0,-44.0,-34.0,BA,False
2e:ad:62:53:35:66,-60.0,-68.0,-55.0,-49.0,-55.0,-45.0,-41.0,-36.0,-53.0,-47.0,BA,False
2e:ad:62:53:35:66,-56.0,-63.0,-58.0,-48.0,-48.0,-48.0,-48.0,-41.0,-40.0,-40.0,BA,False
2e:ad:62:53:35:66,-62.0,-63.0,-53.0,-53.0,-52.0,-56.0,-52.0,-52.0,-36.0,-38.0,BA,False
2e:ad:62:53:35:66,-59.0,-50.0,-53.0,-44.0,-44.0,-43.0,-37.0,-44.0,-44.0,-52.0,BA,False
2e:ad:62:53:35:66,-58.0,-51.0,-58.0,-49.0,-47.0,-47.0,-51.0,-42.0,-40.0,-48.0,BA,False
2e:ad:62:53:35:66,-54.0,-56.0,-57.0,-57.0,-43.0,-44.0,-37.0,-33.0,-33.0,-50.0,BA,False
2e:ad:62:53:35:66,-60.0,-57.0,-57.0,-49.0,-50.0,-37.0,-37.0,-42.0,-46.0,-46.0,BA,False
e6:53:5c:2a:e8:e2,-59.0,-56.0,-59.0,-62.0,-61.0,-62.0,-55.0,-55.0,-59.0,-53.0,BB,False
e6:53:5c:2a:e8:e2,-50.0,-50.0,-54.0,-56.0,-49.0,-50.0,-58.0,-56.0,-53.0,-58.0,BB,False
e6:53:5c:2a:e8:e2,-60.0,-59.0,-59.0,-61.0,-64.0,-61.0,-60.0,-50.0,-51.0,-60.0,BB,False
e6:53:5c:2a:e8:e2,-52.0,-56.0,-54.0,-53.0,-51.0,-50.0,-51.0,-60.0,-46.0,-50.0,BB,False
e6:53:5c:2a:e8:e2,-57.0,-60.0,-54.0,-58.0,-55.0,-58.0,-61.0,-55.0,-54.0,-59.0,BB,False
e6:53:5c:2a:e8:e2,-53.0,-50.0,-54.0,-52.0,-55.0,-52.0,-68.0,-52.0,-49.0,-53.0,BB,False
e6:53:5c:2a:e8:e2,-52.0,-58.0,-49.0,-52.0,-62.0,-60.0,-56.0,-56.0,-61.0,-56.0,BB,False
e6:53:5c:2a:e8:e2,-56.0,-58.0,-58.0,-56.0,-54.0,-58.0,-56.0,-58.0,-59.0,-61.0,BB,False
e6:53:5c:2a:e8:e2,-52.0,-50.0,-51.0,-52.0,-56.0,-54.0,-49.0,-53.0,-55.0,-57.0,BB,False
e6:53:5c:2a:e8:e2,-57.0,-59.0,-56.0,-55.0,-63.0,-59.0,-59.0,-62.0,-57.0,-53.0,BB,False
e6:53:5c:2a:e8:e2,-55.0,-56.0,-60.0,-64.0,-55.0,-59.0,-52.0,-53.0,-54.0,-56.0,BB,False
e6:53:5c:2a:e8:e2,-50.0,-50.0,-57.0,-54.0,-54.0,-62.0,-54.0,-54.0,-52.0,-56.0,BB,False
e6:53:5c:2a:e8:e2,-58.0,-60.0,-58.0,-58.0,-58.0,-61.0,-63.0,-60.0,-62.0,-62.0,BB,False
e6:53:5c:2a:e8:e2,-60.0,-52.0,-57.0,-58.0,-59.0,-56.0,-58.0,-54.0,-52.0,-56.0,BB,False
e6:53:5c:2a:e8:e2,-50.0,-50.0,-49.0,-51.0,-52.0,-51.0,-59.0,-55.0,-53.0,-56.0,BB,False
e6:53:5c:2a:e8:e2,-61.0,-54.0,-61.0,-57.0,-56.0,-56.0,-56.0,-55.0,-56.0,-57.0,BB,False
e6:53:5c:2a:e8:e2,-52.0,-54.0,-50.0,-55.0,-53.0,-56.0,-54.0,-54.0,-51.0,-58.0,BB,False
e6:53:5c:2a:e8:e2,-55.0,-61.0,-64.0,-56.0,-62.0,-61.0,-58.0,-58.0,-58.0,-54.0,BB,False
e6:53:5c:2a:e8:e2,-55.0,-53.0,-56.0,-58.0,-56.0,-57.0,-56.0,-56.0,-54.0,-50.0,BB,False
e6:53:5c:2a:e8:e2,-53.0,-54.0,-53.0,-52.0,-53.0,-53.0,-57.0,-55.0,-58.0,-62.0,BB,False
e6:53:5c:2a:e8:e2,-55.0,-54.0,-58.0,-60.0,-54.0,-54.0,-56.0,-61.0,-62.0,-57.0,BB,False
e6:53:5c:2a:e8:e2,-50.0,-52.0,-48.0,-48.0,-51.0,-53.0,-57.0,-50.0,-56.0,-57.0,BB,False
e6:53:5c:2a:e8:e2,-59.0,-56.0,-56.0,-56.0,-53.0,-54.0,-54.0,-57.0,-52.0,-58.0,BB,False
e6:53:5c:2a:e8:e2,-50.0,-54.0,-50.0,-53.0,-55.0,-59.0,-51.0,-47.0,-50.0,-54.0,BB,False
e6:53:5c:2a:e8:e2,-48.0,-49.0,-47.0,-52.0,-54.0,-58.0,-56.0,-59.0,-50.0,-51.0,BB,False
e6:53:5c:2a:e8:e2,-47.0,-47.0,-47.0,-48.0,-51.0,-52.0,-51.0,-58.0,-54.0,-54.0,BB,False
e6:53:5c:2a:e8:e2,-58.0,-57.0,-60.0,-60.0,-55.0,-55.0,-56.0,-54.0,-57.0,-57.0,BB,False
e6:53:5c:2a:e8:e2,-55.0,-56.0,-56.0,-53.0,-56.0,-53.0,-56.0,-54.0,-52.0,-56.0,BB,False
e6:53:5c:2a:e8:e2,-57.0,-59.0,-57.0,-55.0,-60.0,-51.0,-58.0,-54.0,-54.0,-54.0,BB,False
e6:53:5c:2a:e8:e2,-47.0,-52.0,-52.0,-52.0,-54.0,-54.0,-53.0,-53.0,-52.0,-54.0,BB,False
